strain_id,fna_filename,fastq_filename,genome_source
JS16,zr24986_21-unicycler.scaffolds,"zr24986_21_R1.fastq.gz, zr24986_21_R2.fastq.gz",zymo
JW81703,zr24986_22-unicycler.scaffolds,"zr24986_22_R1.fastq.gz, zr24986_22_R2.fastq.gz",zymo
HTWP14,zr24986_23-unicycler.scaffolds,"zr24986_23_R1.fastq.gz, zr24986_23_R2.fastq.gz",zymo
fb57,zr24986_24-unicycler.scaffolds,"zr24986_24_R1.fastq.gz, zr24986_24_R2.fastq.gz",zymo
HTM14,zr24986_25-unicycler.scaffolds,"zr24986_25_R1.fastq.gz, zr24986_25_R2.fastq.gz",zymo
KC75122,zr24986_26-unicycler.scaffolds,"zr24986_26_R1.fastq.gz, zr24986_26_R2.fastq.gz",zymo
JW70607,zr24986_27-unicycler.scaffolds,"zr24986_27_R1.fastq.gz, zr24986_27_R2.fastq.gz",zymo
KC75121,zr24986_28-unicycler.scaffolds,"zr24986_28_R1.fastq.gz, zr24986_28_R2.fastq.gz",zymo
P571a11,zr24986_29-unicycler.scaffolds,"zr24986_29_R1.fastq.gz, zr24986_29_R2.fastq.gz",zymo
sic0303,zr24986_30-unicycler.scaffolds,"zr24986_30_R1.fastq.gz, zr24986_30_R2.fastq.gz",zymo
JW50606,zr24986_31-unicycler.scaffolds,"zr24986_31_R1.fastq.gz, zr24986_31_R2.fastq.gz",zymo
fb38,zr24986_32-unicycler.scaffolds,"zr24986_32_R1.fastq.gz, zr24986_32_R2.fastq.gz",zymo
BFD1a07,zr24986_33-unicycler.scaffolds,"zr24986_33_R1.fastq.gz, zr24986_33_R2.fastq.gz",zymo
BFD1a24,zr24986_34-unicycler.scaffolds,"zr24986_34_R1.fastq.gz, zr24986_34_R2.fastq.gz",zymo
fb46,zr24986_35-unicycler.scaffolds,"zr24986_35_R1.fastq.gz, zr24986_35_R2.fastq.gz",zymo
JW70608,zr24986_36-unicycler.scaffolds,"zr24986_36_R1.fastq.gz, zr24986_36_R2.fastq.gz",zymo
P571a12,zr24986_37-unicycler.scaffolds,"zr24986_37_R1.fastq.gz, zr24986_37_R2.fastq.gz",zymo
JW80604,zr24986_38-unicycler.scaffolds,"zr24986_38_R1.fastq.gz, zr24986_38_R2.fastq.gz",zymo
JW70603,zr24986_39-unicycler.scaffolds,"zr24986_39_R1.fastq.gz, zr24986_39_R2.fastq.gz",zymo
JFK2,zr24986_40-unicycler.scaffolds,"zr24986_40_R1.fastq.gz, zr24986_40_R2.fastq.gz",zymo
1A01,GCF_002700025.1_ASM270002v1_genomic.fna,,ncbi
3D05,GCF_002723455.1_ASM272345v1_genomic.fna,,ncbi
6C06,GCF_002835465.1_ASM283546v1_genomic.fna,,ncbi
6D03,GCF_002835515.1_ASM283551v1_genomic.fna,,ncbi
A1M10,GCF_030549105.1_ASM3054910v1_genomic.fna,,ncbi
E3M18,GCF_018860365.1_ASM1886036v1_genomic.fna,,ncbi
TI.9.16,BBKM7T_10_TI.9.16_1_reference.fna,,plasmidsaurus
TI.7.09,BBKM7T_11_TI.7.09_1_reference.fna,,plasmidsaurus
TI.9.53,BBKM7T_1_TI.9.53_1_reference.fna,,plasmidsaurus
TN.2.05,BBKM7T_2_TN.2.05_1_reference.fna,,plasmidsaurus
TI.9.44,BBKM7T_4_TI.9.44_1_reference.fna,,plasmidsaurus
TI.5.01,BBKM7T_5_TI.5.01_1_reference.fna,,plasmidsaurus
TI.3.10,BBKM7T_7_TI.3.10_1_reference.fna,,plasmidsaurus
TI.9.48,BBKM7T_8_TI.9.48_1_reference.fna,,plasmidsaurus
TI.7.03,BBKM7T_9_TI.7.03_1_reference.fna,,plasmidsaurus
TI.9.54,BZTMSZ_1_rerun_TI.9.54_3_1_reference.fna,,plasmidsaurus
